zolai	english	translations	cefr	example
ca-tarrh	ca-tarrh	n. nap leh khaaksuah omna mun natna nap tamin khaaksuah tam. | ca-tarrh | leh khaaksuah omna mun natna nap tamin khaaksuah tam | nap leh khaaksuah omna mun natna nap tamin khaaksuah tam	C2	
cab	(n) leeng, sakol leeng, meileng hiam mawtaw hiam sunga a hawlte tuannadei	(n) leeng, sakol leeng, meileng hiam mawtaw hiam sunga a hawlte tuannadei	C2	Cab mawtaw khalhpa ka hi hi.
cab-stand	khawl/kingakna mun, taxi khawl/kingakna mun	khawl/kingakna mun | taxi khawl/kingakna mun | n. taxi khawl/kingakna mun. | cab-stand	C2	
cabal	(n) gam vaihawmna kalhna dinga thubawlsim pawl, kumpi dona ding geelsim pawl	(n) gam vaihawmna kalhna dinga thubawlsim pawl, kumpi dona ding geelsim pawl	C2	"Cabal" kici kammal pen "Kabballah" panin hong kikhia ahihna tuni-in
cabana	buukta, cabana	buukta | cabana | buukneu buukta | n. buukneu; buukta.	C2	
cabanet	n. laamna; lasakna, muhnop lahna an saipite., laamna	n. laamna; lasakna, muhnop lahna an saipite. | laamna | lasakna, muhnop lahna an saipite | cabanet	C2	
cabaret	(n.): laamna; lasakna, muhnop lahna an saipite	(n.): laamna; lasakna, muhnop lahna an saipite	C2	Cabaret pen show tuam khat ahi.
cabbage	(n) ankamlum, ziklum	(n) ankamlum, ziklum	C2	Cabbage denteh nek theih hi.
cabby	(n) vat mawtaw aka mawngtu.	(n) vat mawtaw aka mawngtu.	C2	
caber	(n.): စကော့ကုန်းမြင့်ဒေသအားကစားပွဲတွင်ပစ်လွှင့်ရသောသစ်ပင်ကြီး၏ပင်စည်။	(n.): စကော့ကုန်းမြင့်ဒေသအားကစားပွဲတွင်ပစ်လွှင့်ရသောသစ်ပင်ကြီး၏ပင်စည်။	C2	"saber" leh "caber" pen "haber" sangin a kibang zaw lai hi.
cabin	(n) inndeineu, vanleng hiam tembaw hiam sunga ihmut tuam theihna ding inndeineukhat	(n) inndeineu, vanleng hiam tembaw hiam sunga ihmut tuam theihna ding inndeineukhat	C2	Cabin sungah ka lutta hi.
cabin-boy	(n.): lawng sung rawldawr ih hnattuan nauhakpa.	(n.): lawng sung rawldawr ih hnattuan nauhakpa.	C2	
cabinet	(n) thu reltu upa pawl; vuanzi pawl : bizu fate.	(n) thu reltu upa pawl; vuanzi pawl : bizu fate.	C2	Ziri in cabinet hong hi.
cabinetmaker	(n.): innsung vanzat (tutna, sabuai, biju) bawlte	(n.): innsung vanzat (tutna, sabuai, biju) bawlte	C2	
cable	(n) sikkhau, tuisung hiam leisung hiam a kihona dinga kikhung sikkhau; (v) sikkhau sat	(n) sikkhau, tuisung hiam leisung hiam a kihona dinga kikhung sikkhau; (v) sikkhau sat	C2	Tom-in cable car zang hi.
cable
chain
string	siikkhaau	siikkhaau	C2	
cablegram	(n.) thirhri in bia i thanhmi	(n.) thirhri in bia i thanhmi	C2	
cabman	(n) sakol leeng hawlpa	(n) sakol leeng hawlpa	C2	
cabomba	tuilaka po lopa nam khat	tuilaka po lopa nam khat | tuilaka po lopa nam khat. tuilaka po lopa nam khat. | cabomba	C2	
caboodle	caboodle, avekpi abupi	caboodle | avekpi abupi	C2	Kelmi pawl khat "caboodle" cih ahi diam?
caboose	(n.): lawng zial par ih sakmi meiphu.	(n.): lawng zial par ih sakmi meiphu.	C2	
cabotage	cabotage	cabotage | gamsung khat tembaw khawlna khat pan a dang khata khualzinna gamsung mun khat pan a dang khatah vanleeng tawh khualzinna | n.1. gamsung khat, tembaw khawlna khat pan a dang khata khualzinna, 2. gamsung mun khat pan a dang khatah vanleeng tawh khualzinna.	C2	
cabriolet	(n.): sakol khat guak in a kaih, a tung khuhna kikhep thei, pei nih bek nei sakol leeng	(n.): sakol khat guak in a kaih, a tung khuhna kikhep thei, pei nih bek nei sakol leeng	C2	
cabstand	(n.): taxi khawl/kingakna mun	(n.): taxi khawl/kingakna mun	C2	
caca	caca, n. naupang kama-eek.	caca | n. naupang kama-eek. | naupang kama-eek	C2	
cacanny	cacanny	cacanny | Lungkim lohna lahna in nasemte in ziakai a nasepna	C2	
cacao	(n.): cacoa leh chocolate (soklek) kingahna singkung namkhat	(n.): cacoa leh chocolate (soklek) kingahna singkung namkhat	C2	Cacao kung pen huihsiang pawlkhat bek ah kiciing thei hi.
cach-in-nate	cach-in-nate, naakpi taka nuui	cach-in-nate | naakpi taka nuui | naakpi taka nuui. naakpi taka nuui.	C2	
cache	(n.): 1. rawl, hriamnam le sumsaw thuhnak hmun. 2. hminthannak, thil tuah suakmi neih ruangah mi pakhat ih a ngahmi upatnak, lomnak.	(n.): 1. rawl, hriamnam le sumsaw thuhnak hmun. 2. hminthannak, thil tuah suakmi neih ruangah mi pakhat ih a ngahmi upatnak, lomnak.	C2	Na browser cache siangsak sawm ngei na hiam?
cache-pot	cache-pot, paak beel	cache-pot | paak beel | n. paak beel | beel	C2	
cache-sexe	cache-sexe	cache-sexe | guaktanga laam numeite'n a su muntaka a tuamna puan | guaktanga laam numeite’n a su muntaka a tuamna puan pasalte zongh tua bangmah | pasalte zongh tua bangmah	C2	
cachet	(n.): 1. hminthannak, thil tuah suakmi neih ruangah mi pakhat ih a ngahmi upatnak, lomnak. 2. a hleice-in a ttha, a dik a si ti langternak, a hleice hminsinnak	(n.): 1. hminthannak, thil tuah suakmi neih ruangah mi pakhat ih a ngahmi upatnak, lomnak. 2. a hleice-in a ttha, a dik a si ti langternak, a hleice hminsinnak	C2	
cachexia	cachexia, natna hanga pumpi tha zawtna	cachexia | natna hanga pumpi tha zawtna | n. natna hanga pumpi tha zawtna.	C2	
cachou	cachou, zatep gim zak lohna zatang khum	cachou | zatep gim zak lohna zatang khum	C2	
cacography	laimal dik lo, a gelh dik lo	laimal dik lo | a gelh dik lo | cacography | n. khutgelh hoih lo; a gelh dik lo; laimal dik lo.	C2	
cacophonous	(adj.): သာယာနာပျော်ဖွယ်မရှိသော။ အသံမသာယာသော။	(adj.): သာယာနာပျော်ဖွယ်မရှိသော။ အသံမသာယာသော။	C2	
cacophony	(n.): daan mumal nei lo, ngai nuam lo in ringzet ih a awnmi aw.	(n.): daan mumal nei lo, ngai nuam lo in ringzet ih a awnmi aw.	C2	Ging zaknop loh kigawmna pen cacophony kici hi.
cactus	(n) kildawn, a teh neilo ling leh paak a nei kildawn nam khat	(n) kildawn, a teh neilo ling leh paak a nei kildawn nam khat	C2	"Ka cactus koiah om hiam?".
cad	(n) miginalo, bus letmat zuak	(n) miginalo, bus letmat zuak	C2	CAD Committee in 2015 December 22 niin Kumpi ah Org
cadastral	(a) gamtehna, kumpi in leitangsiah a laakna dinga gam zaina theihna dinga tehna, gam neihzah ciamtehna dinga tehna	(a) gamtehna, kumpi in leitangsiah a laakna dinga gam zaina theihna dinga tehna, gam neihzah ciamtehna dinga tehna	C2	
cadaver	(n.): khei dinga om misi luang	(n.): khei dinga om misi luang	C2	
cadaver
corpse	siluang	siluang	C2	
cadaverous	(adj.): အလွန်ပိန်ချုံး၍ဖြူရော်သော။	(adj.): အလွန်ပိန်ချုံး၍ဖြူရော်သော။	C2	
caddie	(n.): bawlungneu saat (golf) kimawlna-a a saatna ciang tawi-a bawlung a tawm kawikawi naupang	(n.): bawlungneu saat (golf) kimawlna-a a saatna ciang tawi-a bawlung a tawm kawikawi naupang	C2	Caddie-pa in a golf ciangte pua hi.
caddie
caddy	cad	cad	C2	
caddis	tuumul ham, caddis	tuumul ham | caddis | n. tuumul ham;	C2	
caddish	a mi gina lo, caddish	a mi gina lo | caddish	C2	
caddy	(n.): သံဗူးကလေး၊ သေတ္တာကလေး(လက်ဖက်ခြောက်ထည့်ရန်)။	(n.): သံဗူးကလေး၊ သေတ္တာကလေး(လက်ဖက်ခြောက်ထည့်ရန်)။	C2	Golf denta pa in a vanpua pa (caddy) zatui pia hi.
cadelle	cadelle, n. sialkhum.	cadelle | n. sialkhum. | sialkhum	C2	
cadenza	(n.): တပင်တိုင်အဆို၊ အတီးအတွက်ခက်ခဲသောစာသား (တေးသွား)တစ်ပိုဒ်။	(n.): တပင်တိုင်အဆို၊ အတီးအတွက်ခက်ခဲသောစာသား (တေးသွား)တစ်ပိုဒ်။	C2	Cadenza leh decadence khelh-thuahna pen khialhna lianpi ahi hi.
cadet	(n) tapa neuzaw lam, tapa nauzaw lamte suan; sangnaupang, galkap sin pawl	(n) tapa neuzaw lam, tapa nauzaw lamte suan; sangnaupang, galkap sin pawl	C2	Tom pen cadet (galkap sangnaupang) khat hi.
cadge	(v) khuasunga neektawm ding ngen, khutdawh, lawm le gual huhna ngen	(v) khuasunga neektawm ding ngen, khutdawh, lawm le gual huhna ngen	C2	
cadi	cadi, Muslim gamte ah thukhen mang	cadi | Muslim gamte ah thukhen mang	C2	
cadie	1	sawltawl pasalno deihnana-a sawl theih pasalno bawlungneu saat (golf) kimawlna-a a saatna ciang tawi-a bawlung a tawm kawikawi naupang bawlung saat ipte ciangte puak nadinga kibawl pei nih nei khutsawn leeng neudan | 1 | cadie | n. 1. sawltawl pasalno; deihnana-a sawl theih pasalno, 2. bawlungneu saat (golf) kimawlna-a a saatna ciang tawi-a bawlung a tawm kawikawi naupang, 3. bawlung saat ipte, ciangte puak nadinga kibawl pei nih nei khutsawn leeng neudan.	C2	
cadmium	(n.): ငွေရောင်ကဲ့သို့ဖြူသောသတ္တုဒြပ်စင်တစ်မျိုး။	(n.): ငွေရောင်ကဲ့သို့ဖြူသောသတ္တုဒြပ်စင်တစ်မျိုး။	C2	Nitengatna lakah arsenic, copper, cadmium, lead leh thih dangte kihel hi.
cadre	(n) galkap bute khenna, mangza a ngah ciang kumpi nasemte kikhenna, nasepna mun hawmna	(n) galkap bute khenna, mangza a ngah ciang kumpi nasemte kikhenna, nasepna mun hawmna	C2	Tedim-a CNF cadre teciangciang’ tung-ah hihbang thute suutpih zenzending hilo-hi.
caducity	siatna theihna dinmun, n. siatna theihna dinmun.	siatna theihna dinmun | n. siatna theihna dinmun. | caducity	C2	
caducous	(a) pulhbaih, haubaih, (singnah te pulh baih)	(a) pulhbaih, haubaih, (singnah te pulh baih)	C2	
caecum	(n.): အူသိမ်နှင့်အူမကြီးစပ်ကြားမှအိတ်ငယ်တစ်ခု။	(n.): အူသိမ်နှင့်အူမကြီးစပ်ကြားမှအိတ်ငယ်တစ်ခု။	C2	
caesar	caesar, caesarian	caesar | caesarian | Zawma kumpi za min	C2	Caesar in uicho nei hia?
caesarian	caesar, gil khei a nau suahna	caesar | gil khei a nau suahna	C2	Gil-at-in (Caesarian) nau neih ka nuam hi.
caesium	(n.): ပျော့၍ငွေရောင်ရှိသောသတ္တုဒြပ်စင်။	(n.): ပျော့၍ငွေရောင်ရှိသောသတ္တုဒြပ်စင်။	C2	caesium leh francium te pen alkali metals te ahi uhi.
caesura	caesura, La dawng khat sungah a mathu a piang khawlna mun	caesura | La dawng khat sungah a mathu a piang khawlna mun	C2	
cafard	cimtaak huaina, lungzuanna hih ding theih lohna	cimtaak huaina, lungzuanna hih ding theih lohna | n. cimtaak huaina, lungzuanna; hih ding theih lohna. | cafard | hih ding theih lohna	C2	
cafe	(n) kapi dawn theihna	(n) kapi dawn theihna	C2	Cafe ah ka pai hi.
cafeteria	(n) eima ading bawl tawm a neek leh dawn theihna, hawtel	(n) eima ading bawl tawm a neek leh dawn theihna, hawtel	C2	Amah cafeteria ah tu hi.
cafetiere	(n.): ပလန်ဂျာပါရှိသောကော်ဖီအိုး။	(n.): ပလန်ဂျာပါရှိသောကော်ဖီအိုး။	C2	
caffeine	(n.): coffee, niangteh laka om gu	(n.): coffee, niangteh laka om gu	C2	Coffee sungah caffeine kihel hi.
caftan	(n.): Mediterranean gam lama kisilh kawng gaakna a nei puantual	(n.): Mediterranean gam lama kisilh kawng gaakna a nei puantual	C2	
café	(n.): စားသောက်ဆိုင်ငယ်လေး။	(n.): စားသောက်ဆိုင်ငယ်လေး။	C2	
café-torium	n. an neek hun ciang an neek, kikhopna khatpeuh neih ciang kikhopna muna zat kawikawi theih inndeipi (hall).	n. an neek hun ciang an neek, kikhopna khatpeuh neih ciang kikhopna muna zat kawikawi theih inndeipi (hall). | neek hun ciang an neek, kikhopna khatpeuh neih ciang kikhopna muna zat kawikawi theih inndeipi (hall) | café-torium | an neek hun ciang an neek kikhopna khatpeuh neih ciang kikhopna muna zat kawikawi theih inndeipi (hall)	C2	
cage	(n) vasa bawm	(n) vasa bawm	C2	A gual (cage) hawng in.
cage
cote	vasa buuk	vasa buuk	C2	
cagey
cagy	cagey cagy	cagey cagy	C2	
cagily	(adv.): လျှို့ဝှက်စွာ။ သိုသပ်စွာ။	(adv.): လျှို့ဝှက်စွာ။ သိုသပ်စွာ။	C2	
cagoule	(n.): ခေါင်းဆောင်းပါသည့်မိုးကာအင်္ကျီ။	(n.): ခေါင်းဆောင်းပါသည့်မိုးကာအင်္ကျီ။	C2	Ziri in tawntung cagoule tawm hi.
cahoot	cahoots	cahoots	C2	
cahoots	(n.): စပ်တူစပ်ဖက်၊ ပါတနာ။	(n.): စပ်တူစပ်ဖက်၊ ပါတနာ။	C2	
caigque	caigque, akihot gunkuang tembaw neu	caigque | akihot gunkuang tembaw neu	C2	
caiman	(n.): မိကျောင်းနှင့်တူသောတွားသွားကောင်တစ်မျိုး။	(n.): မိကျောင်းနှင့်တူသောတွားသွားကောင်တစ်မျိုး။	C2	Caiman pen ganhing thahat mahmah khat hi.
cain	(n ) Adam le Eve te ih fapa upa (Baibal thu.)	(n ) Adam le Eve te ih fapa upa (Baibal thu.)	C2	Cain pen migilo ahi hi.
caird	(n) suangcian, hantung hiam gamgi hiam ciamtehna a akiciang suang, gamgi suangcian	(n) suangcian, hantung hiam gamgi hiam ciamtehna a akiciang suang, gamgi suangcian	C2	
cairn	(n) lung don; lung dawl; ramri lung dawl.	(n) lung don; lung dawl; ramri lung dawl.	C2	Cairn terrier in a neu lam hi-a, Scotland gam pan ahi hi.
caisson	thautang singkuang, pei nei thaupi tawh kithuah thautang kuang	thautang singkuang | pei nei thaupi tawh kithuah thautang kuang | thautang bawm thautang singkuang | thautang bawm	C2	
caitiff	(n) mi simmawh huai, mi ginalo	(n) mi simmawh huai, mi ginalo	C2	
cajolary	(n) phat khemna	(n) phat khemna	C2	
cajole	(v) kheem, phat khem, (adeihna banga zat theih dinga mi khat in mi khat phat khemin kilawpsak)	(v) kheem, phat khem, (adeihna banga zat theih dinga mi khat in mi khat phat khemin kilawpsak)	C2	
cajun	(adj.): လူဝီဆီယားနားပြည်နယ်မှပြင်သစ်စကားပြောသူများနှင့်သက်ဆိုင်သော။	(adj.): လူဝီဆီယားနားပြည်နယ်မှပြင်သစ်စကားပြောသူများနှင့်သက်ဆိုင်သော။	C2	Hih pen Cajun la khat hi.
cake	(n) moh, (aktui-cikhum leh anneel a beem a kikang min)	(n) moh, (aktui-cikhum leh anneel a beem a kikang min)	C2	Ankansungah cake a om hi.
cake
bread	moh (Bur)	moh (Bur)	C2	
cake-walk	1	1 | n. 1. kal saaupi suana lampai kidemna, tha man dinga moh kipiakna, 2. na khatpeuh ol tak leh baih taka sep zawhna. | kal saaupi suana lampai kidemna, tha man dinga moh kipiakna na khatpeuh ol tak leh baih taka sep zawhna | cake-walk	C2	
calabash	(n.): uum gui, neekte hi lo, kuang leh keeu dinga kizangh thei uum guikung	(n.): uum gui, neekte hi lo, kuang leh keeu dinga kizangh thei uum guikung	C2	Sherlock Holmes in calabash tuibuk tawh kuak khia hi.
calamay	(n) ahilopi-a ngawh na mindaisakna, ahihnalopi ahi banga ngawhna	(n) ahilopi-a ngawh na mindaisakna, ahihnalopi ahi banga ngawhna	C2	
calamine	(n.): အယားပျောက်စေသည့်ဆေးရည်။ zinc carbonate ပါဝင်သည်။	(n.): အယားပျောက်စေသည့်ဆေးရည်။ zinc carbonate ပါဝင်သည်။	C2	
calamint	leengmeseel nam khat, n. leengmeseel nam khat.	leengmeseel nam khat | n. leengmeseel nam khat. | calamint	C2	
calamitous	(a) kaamsiatna, sia thuakna	(a) kaamsiatna, sia thuakna	C2	
calamitously	(adv.): ဘေးသင့်လျက်။	(adv.): ဘေးသင့်လျက်။	C2	
calamity	(n.): kaamsiatna, huihpi hiam kaangmeipatau hiam thuakna, buaina leh patauhna, vaangsiatna, sihna manna	(n.): kaamsiatna, huihpi hiam kaangmeipatau hiam thuakna, buaina leh patauhna, vaangsiatna, sihna manna	C2	Calamity Jane pen California ah a om hi.
calamondin	calamondin, Philippine gama lengmaw namkhat	calamondin | Philippine gama lengmaw namkhat | n. Philippine gama lengmaw namkhat.	C2	
calando	adj. tawmtawma ze-ol seemseem-a a tawpna ah khawl; gin niam seemseema bei.	adj. tawmtawma ze-ol seemseem-a a tawpna ah khawl; gin niam seemseema bei. | tawmtawma ze-ol seemseem-a a tawpna ah khawl gin niam seemseema bei | tawmtawma ze-ol seemseem-a a tawpna ah khawl | calando	C2	
calcaneus	khetuul guh., n. khetuul guh.	khetuul guh. | n. khetuul guh. | calcaneus | khetuul guh	C2	
calceolaria	(n) paaknam khat	(n) paaknam khat	C2	
calcify	(v.): calcium ci suak	(v.): calcium ci suak	C2	
calcine	(v.): sa saka vui suak sak; vut a suah donga kaang sak	(v.): sa saka vui suak sak; vut a suah donga kaang sak	C2	
